2023.04.13 19:01:16 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2023.04.13 19:01:16 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2023.04.13 19:01:17 INFO  web[][o.s.s.r.RegisterRules] Register rules
2023.04.13 19:01:36 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2023.04.13 19:01:40 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2023.04.13 19:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/Sonar way
2023.04.13 19:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile scala/Sonar way
2023.04.13 19:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2023.04.13 19:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2023.04.13 19:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2023.04.13 19:01:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2023.04.13 19:01:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2023.04.13 19:01:43 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2023.04.13 19:01:43 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2023.04.13 19:01:43 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2023.04.13 19:01:43 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2023.04.13 19:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2023.04.13 19:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2023.04.13 19:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2023.04.13 19:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2023.04.13 19:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2023.04.13 19:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2023.04.13 19:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2023.04.13 19:01:44 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2023.04.13 19:01:44 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@65658d46 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@269efae6 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@5e1ee05c [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@25d5b28c [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@504f4275 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
